Date,Hour,DryBulb,DewPnt,SYSLoad,NumDate
2004-01-01 00:00:00.0,1,37,25,12230,7.32E+05
2004-01-01 00:00:00.0,2,37,25,11534,7.32E+05
2004-01-01 00:00:00.0,3,39,24,11038,7.32E+05
2004-01-01 00:00:00.0,4,38,22,10777,7.32E+05
2004-01-01 00:00:00.0,5,37,20,10764,7.32E+05
2004-01-01 00:00:00.0,6,36,19,11032,7.32E+05
2004-01-01 00:00:00.0,7,35,20,11508,7.32E+05
2004-01-01 00:00:00.0,8,35,20,11806,7.32E+05
2004-01-01 00:00:00.0,9,35,21,12457,7.32E+05
2004-01-01 00:00:00.0,10,37,21,13214,7.32E+05
2004-01-01 00:00:00.0,11,38,22,13783,7.32E+05
2004-01-01 00:00:00.0,12,39,22,14156,7.32E+05
2004-01-01 00:00:00.0,13,40,22,14182,7.32E+05
2004-01-01 00:00:00.0,14,40,22,13988,7.32E+05
2004-01-01 00:00:00.0,15,40,22,13727,7.32E+05
2004-01-01 00:00:00.0,16,40,22,13856,7.32E+05
2004-01-01 00:00:00.0,17,38,22,15215,7.32E+05
2004-01-01 00:00:00.0,18,36,22,16593,7.32E+05
2004-01-01 00:00:00.0,19,35,22,16483,7.32E+05
2004-01-01 00:00:00.0,20,35,22,16135,7.32E+05
2004-01-01 00:00:00.0,21,34,22,15681,7.32E+05
2004-01-01 00:00:00.0,22,33,22,14872,7.32E+05
2004-01-01 00:00:00.0,23,32,23,13769,7.32E+05
2004-01-01 00:00:00.0,24,31,23,12640,7.32E+05
2004-01-02 00:00:00.0,1,30,22,11728,7.32E+05
2004-01-02 00:00:00.0,2,29,22,11275,7.32E+05
2004-01-02 00:00:00.0,3,28,22,11083,7.32E+05
2004-01-02 00:00:00.0,4,28,22,11071,7.32E+05
2004-01-02 00:00:00.0,5,28,23,11304,7.32E+05
2004-01-02 00:00:00.0,6,29,24,12053,7.32E+05
2004-01-02 00:00:00.0,7,30,25,13372,7.32E+05
2004-01-02 00:00:00.0,8,30,25,14656,7.32E+05
2004-01-02 00:00:00.0,9,30,26,15658,7.32E+05
2004-01-02 00:00:00.0,10,30,27,16472,7.32E+05
2004-01-02 00:00:00.0,11,31,29,16889,7.32E+05
2004-01-02 00:00:00.0,12,31,30,17015,7.32E+05
2004-01-02 00:00:00.0,13,32,30,16869,7.32E+05
2004-01-02 00:00:00.0,14,33,31,16595,7.32E+05
2004-01-02 00:00:00.0,15,33,31,16387,7.32E+05
2004-01-02 00:00:00.0,16,33,31,16414,7.32E+05
2004-01-02 00:00:00.0,17,33,32,17327,7.32E+05
2004-01-02 00:00:00.0,18,33,32,18164,7.32E+05
2004-01-02 00:00:00.0,19,34,32,17766,7.32E+05
2004-01-02 00:00:00.0,20,33,32,17144,7.32E+05
2004-01-02 00:00:00.0,21,33,32,16461,7.32E+05
2004-01-02 00:00:00.0,22,32,31,15562,7.32E+05
2004-01-02 00:00:00.0,23,32,31,14357,7.32E+05
2004-01-02 00:00:00.0,24,32,31,13086,7.32E+05
2004-01-03 00:00:00.0,1,33,32,12017,7.32E+05
2004-01-03 00:00:00.0,2,33,32,11362,7.32E+05
2004-01-03 00:00:00.0,3,33,31,11030,7.32E+05
2004-01-03 00:00:00.0,4,33,32,10886,7.32E+05
2004-01-03 00:00:00.0,5,33,32,10929,7.32E+05
2004-01-03 00:00:00.0,6,33,32,11279,7.32E+05
2004-01-03 00:00:00.0,7,33,32,11965,7.32E+05
2004-01-03 00:00:00.0,8,33,33,12862,7.32E+05
2004-01-03 00:00:00.0,9,33,33,13957,7.32E+05
2004-01-03 00:00:00.0,10,34,33,14980,7.32E+05
2004-01-03 00:00:00.0,11,35,34,15575,7.32E+05
2004-01-03 00:00:00.0,12,35,34,15730,7.32E+05
2004-01-03 00:00:00.0,13,36,35,15580,7.32E+05
2004-01-03 00:00:00.0,14,38,37,15275,7.32E+05
2004-01-03 00:00:00.0,15,39,38,14963,7.32E+05
2004-01-03 00:00:00.0,16,40,39,14902,7.32E+05
2004-01-03 00:00:00.0,17,40,39,15892,7.32E+05
2004-01-03 00:00:00.0,18,40,40,16778,7.32E+05
2004-01-03 00:00:00.0,19,41,40,16532,7.32E+05
2004-01-03 00:00:00.0,20,41,40,15977,7.32E+05
2004-01-03 00:00:00.0,21,40,39,15454,7.32E+05
2004-01-03 00:00:00.0,22,40,40,14660,7.32E+05
2004-01-03 00:00:00.0,23,41,40,13588,7.32E+05
2004-01-03 00:00:00.0,24,41,40,12416,7.32E+05
2004-01-04 00:00:00.0,1,42,41,11354,7.32E+05
2004-01-04 00:00:00.0,2,42,41,10710,7.32E+05
2004-01-04 00:00:00.0,3,42,41,10350,7.32E+05
2004-01-04 00:00:00.0,4,43,41,10175,7.32E+05
2004-01-04 00:00:00.0,5,43,41,10148,7.32E+05
2004-01-04 00:00:00.0,6,43,40,10365,7.32E+05
2004-01-04 00:00:00.0,7,43,40,10885,7.32E+05
2004-01-04 00:00:00.0,8,43,39,11406,7.32E+05
2004-01-04 00:00:00.0,9,43,38,12297,7.32E+05
2004-01-04 00:00:00.0,10,44,40,13204,7.32E+05
2004-01-04 00:00:00.0,11,46,38,13910,7.32E+05
2004-01-04 00:00:00.0,12,46,37,14310,7.32E+05
2004-01-04 00:00:00.0,13,46,35,14559,7.32E+05
2004-01-04 00:00:00.0,14,45,34,14582,7.32E+05
2004-01-04 00:00:00.0,15,43,34,14629,7.32E+05
2004-01-04 00:00:00.0,16,41,35,14856,7.32E+05
2004-01-04 00:00:00.0,17,40,34,16003,7.32E+05
2004-01-04 00:00:00.0,18,39,33,17048,7.32E+05
2004-01-04 00:00:00.0,19,39,33,16896,7.32E+05
2004-01-04 00:00:00.0,20,38,32,16427,7.32E+05
2004-01-04 00:00:00.0,21,37,32,15797,7.32E+05
2004-01-04 00:00:00.0,22,37,32,14734,7.32E+05
2004-01-04 00:00:00.0,23,36,31,13403,7.32E+05
2004-01-04 00:00:00.0,24,35,31,12263,7.32E+05
2004-01-05 00:00:00.0,1,34,30,11444,7.32E+05
2004-01-05 00:00:00.0,2,33,29,11045,7.32E+05
2004-01-05 00:00:00.0,3,32,29,10895,7.32E+05
2004-01-05 00:00:00.0,4,32,29,10908,7.32E+05
2004-01-05 00:00:00.0,5,31,29,11310,7.32E+05
2004-01-05 00:00:00.0,6,31,29,12582,7.32E+05
2004-01-05 00:00:00.0,7,31,28,14895,7.32E+05
2004-01-05 00:00:00.0,8,31,29,16562,7.32E+05
2004-01-05 00:00:00.0,9,31,28,16988,7.32E+05
2004-01-05 00:00:00.0,10,31,28,17324,7.32E+05
2004-01-05 00:00:00.0,11,31,28,17618,7.32E+05
2004-01-05 00:00:00.0,12,32,28,17778,7.32E+05
2004-01-05 00:00:00.0,13,31,29,17734,7.32E+05
2004-01-05 00:00:00.0,14,31,29,17732,7.32E+05
2004-01-05 00:00:00.0,15,32,29,17607,7.32E+05
2004-01-05 00:00:00.0,16,32,30,17800,7.32E+05
2004-01-05 00:00:00.0,17,32,30,18840,7.32E+05
